listing_id,neighborhood_impact_score,hotel_keywords_found,human_keywords_found
20605635,0,1,2
20781169,0,0,0
20816563,0,0,1
20929848,0,0,2
21250979,-1,1,5
21329599,0,0,0
2162251,-1,0,8
21659430,-1,1,4
21673538,0,0,2
21780368,-1,4,8
21834117,-1,1,4
21857142,0,1,3
22158,-1,1,5
22398638,-1,1,4
22398948,0,0,1
22511432,0,0,0
22521435,0,0,0
22647020,-1,1,5
22667883,0,0,1
22828500,0,0,2
22889414,0,0,2
23036313,0,0,2
23101918,0,0,1
23118333,-1,1,5
23316029,0,0,0
23322168,-1,0,3
23369363,0,1,2
23464119,-1,1,6
23474118,1,2,0
23709163,1,1,0
23769001,0,0,0
2384250,0,0,1
24132831,0,0,0
24133705,-1,0,7
2415284,0,1,3
24225710,0,1,3
24239004,0,0,0
24255601,-1,0,3
243040,0,1,3
24507692,0,0,0
24698217,0,0,0
24723313,0,0,0
24847256,0,0,0
24853811,0,0,0
24862301,0,0,1
2488505,-1,0,6
24934385,-1,0,5
25039201,0,0,0
2527936,0,0,0
25312836,-1,1,5
25503255,-1,2,7
2579897,-1,2,5
